id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6770VpNwRiV1fKMFjnhvmQ,Asa Branca,"Luiz Gonzaga, Raimundo Fagner, ",0.598,0.582,207760,0.726,0.00000158,5,0.128,-7.386,1,0.0376,115.545,4,0.823
4Rwljh2dqc2mIimSzsPATg,So Danco Samba,"Antônio Carlos Jobim, ",0.596,0.425,120760,0.501,0.0494,1,0.094,-17.18,1,0.0495,82.823,4,0.795
0dWOiVQwoUYTtXD0VVgmJQ,Chega de Saudade,"João Gilberto, ",0.743,0.563,121987,0.242,0,4,0.166,-16.004,0,0.0327,87.771,4,0.641
5p4NAxNDdex3XYanOqwyGI,Samba da Bênç¦o,"Toquinho, ",0.702,0.6,151400,0.604,0.205,11,0.121,-10.829,0,0.0453,84.953,4,0.473
5cDs6McSLoPsk82YZncf7o,Você e Eu,"Gilberto Gil, ",0.888,0.51,292640,0.351,0.167,2,0.0986,-14.127,1,0.0814,78.067,4,0.408
4OSitdvzLxZByVbG5iqoYh,Só tinha de ser com você,"Vanessa Da Mata, ",0.415,0.683,232200,0.609,0.0695,7,0.193,-12.184,1,0.0406,168.125,4,0.734
5z0rixDlXqm0iXZ1Zxz3YX,Digging Shelters,"Neil Halstead, ",0.851,0.5,220867,0.273,0.147,4,0.109,-11.195,1,0.0335,76.462,4,0.269
0YOOXnCJihgyluizqhAcrz,Fare Thee Well (Dink's Song),"Oscar Isaac, Marcus Mumford, ",0.897,0.495,180400,0.434,0.000393,2,0.109,-8.079,1,0.0313,82.16,4,0.232
1JxNWpK9xTWKRPoYTIX4Qk,Another Story,"The Head and the Heart, ",0.546,0.352,274200,0.45,0.127,5,0.283,-9.881,1,0.0293,86.937,4,0.111
66olzBxCgKlpFRB1LKH5pO,Mushaboom,"Feist, ",0.295,0.725,224507,0.53,0.00161,3,0.0683,-8.641,1,0.0365,88.712,4,0.815
